Model year;Make;Model;Vehicle class;Transmission;Fuel type;CO2 emissions (g/km);CO2 rating;Smog rating
2012;Mitsubishi;i-MiEV;Subcompact;A1;B;0;n/a;n/a
2012;Nissan;LEAF;Mid-size;A1;B;0;n/a;n/a
2013;Ford;Focus Electric;Compact;A1;B;0;n/a;n/a
2013;Mitsubishi;i-MiEV;Subcompact;A1;B;0;n/a;n/a
2013;Nissan;LEAF;Mid-size;A1;B;0;n/a;n/a
2013;smart;fortwo electric drive cabriolet;Two-seater;A1;B;0;n/a;n/a
2013;smart;fortwo electric drive coupe;Two-seater;A1;B;0;n/a;n/a
2013;Tesla;Model S (40 kWh);Full-size;A1;B;0;n/a;n/a
2013;Tesla;Model S (60 kWh);Full-size;A1;B;0;n/a;n/a
2013;Tesla;Model S (85 kWh);Full-size;A1;B;0;n/a;n/a
2013;Tesla;Model S Performance;Full-size;A1;B;0;n/a;n/a
2014;Chevrolet;Spark EV;Subcompact;A1;B;0;n/a;n/a
2014;Ford;Focus Electric;Compact;A1;B;0;n/a;n/a
2014;Mitsubishi;i-MiEV;Subcompact;A1;B;0;n/a;n/a
2014;Nissan;LEAF;Mid-size;A1;B;0;n/a;n/a
2014;smart;fortwo electric drive cabriolet;Two-seater;A1;B;0;n/a;n/a
2014;smart;fortwo electric drive coupe;Two-seater;A1;B;0;n/a;n/a
2014;Tesla;Model S (60 kWh);Full-size;A1;B;0;n/a;n/a
2014;Tesla;Model S (85 kWh);Full-size;A1;B;0;n/a;n/a
2014;Tesla;Model S Performance;Full-size;A1;B;0;n/a;n/a
2015;BMW;i3;Subcompact;A1;B;0;n/a;n/a
2015;Chevrolet;Spark EV;Subcompact;A1;B;0;n/a;n/a
2015;Ford;Focus Electric;Compact;A1;B;0;n/a;n/a
2015;Kia;Soul EV;Station wagon: Small;A1;B;0;n/a;n/a
2015;Mitsubishi;i-MiEV;Subcompact;A1;B;0;n/a;n/a
2015;Nissan;LEAF;Mid-size;A1;B;0;n/a;n/a
2015;smart;fortwo electric drive cabriolet;Two-seater;A1;B;0;n/a;n/a
2015;smart;fortwo electric drive coupe;Two-seater;A1;B;0;n/a;n/a
2015;Tesla;Model S (60 kWh);Full-size;A1;B;0;n/a;n/a
2015;Tesla;Model S (70 kWh);Full-size;A1;B;0;n/a;n/a
2015;Tesla;Model S (85/90 kWh);Full-size;A1;B;0;n/a;n/a
2015;Tesla;Model S 70D;Full-size;A1;B;0;n/a;n/a
2015;Tesla;Model S 85D/90D;Full-size;A1;B;0;n/a;n/a
2015;Tesla;Model S P85D/P90D;Full-size;A1;B;0;n/a;n/a
2016;BMW;i3;Subcompact;A1;B;0;10;n/a
2016;Chevrolet;Spark EV;Subcompact;A1;B;0;10;n/a
2016;Ford;Focus Electric;Compact;A1;B;0;10;n/a
2016;Kia;Soul EV;Station wagon: Small;A1;B;0;10;n/a
2016;Mitsubishi;i-MiEV;Subcompact;A1;B;0;10;n/a
2016;Nissan;LEAF (24 kWh);Mid-size;A1;B;0;10;n/a
2016;Nissan;LEAF (30 kWh);Mid-size;A1;B;0;10;n/a
2016;smart;fortwo electric drive cabriolet;Two-seater;A1;B;0;10;n/a
2016;smart;fortwo electric drive coupe;Two-seater;A1;B;0;10;n/a
2016;Tesla;Model S (60 kWh pre- 6/16);Full-size;A1;B;0;10;n/a
2016;Tesla;Model S (60 kWh);Full-size;A1;B;0;10;n/a
2016;Tesla;Model S (70 kWh);Full-size;A1;B;0;10;n/a
2016;Tesla;Model S (75 kWh);Full-size;A1;B;0;10;n/a
2016;Tesla;Model S (85/90 kWh);Full-size;A1;B;0;10;n/a
2016;Tesla;Model S 60D;Full-size;A1;B;0;10;n/a
2016;Tesla;Model S 70D;Full-size;A1;B;0;10;n/a
2016;Tesla;Model S 75D;Full-size;A1;B;0;10;n/a
2016;Tesla;Model S 85D/90D;Full-size;A1;B;0;10;n/a
2016;Tesla;Model S 90D (Refresh);Full-size;A1;B;0;10;n/a
2016;Tesla;Model S P85D/P90D;Full-size;A1;B;0;10;n/a
2016;Tesla;Model S P90D (Refresh);Full-size;A1;B;0;10;n/a
2016;Tesla;Model S P100D;Full-size;A1;B;0;10;n/a
